"Date","Price","Open","High","Low","Change %"
"Sep 20, 2022","2.5220","2.6060","2.6360","2.4940","-1.79%"
"Sep 19, 2022","2.5680","2.6410","2.7030","2.5570","-3.07%"
"Sep 18, 2022","2.6493","2.6493","2.6493","2.6493","-0.18%"
"Sep 16, 2022","2.6540","2.7520","2.7990","2.6320","12.41%"
"Sep 15, 2022","2.3610","2.4910","2.5060","2.3200","-4.26%"
"Sep 14, 2022","2.4660","2.5110","2.5320","2.4170","-0.80%"
"Sep 13, 2022","2.4860","2.5600","2.6080","2.4660","-3.46%"
"Sep 12, 2022","2.5750","2.5700","2.5750","2.5240","0.08%"
"Sep 11, 2022","2.5729","2.5729","2.5729","2.5729","0.82%"
"Sep 09, 2022","2.5520","2.5680","2.5880","2.5300","14.23%"
"Sep 08, 2022","2.2340","2.2470","2.2720","2.2210","1.36%"
"Sep 07, 2022","2.2040","2.3740","2.4170","2.2010","-7.47%"
"Sep 06, 2022","2.3820","2.4940","2.6160","2.3590","-2.90%"
"Sep 05, 2022","2.4531","2.4582","2.4710","2.4531","-0.20%"
"Sep 02, 2022","2.4580","2.3820","2.5040","2.3820","6.50%"
"Sep 01, 2022","2.3080","2.3430","2.3920","2.2700","-1.20%"
"Aug 31, 2022","2.3360","2.3790","2.4150","2.2930","-0.43%"
"Aug 30, 2022","2.3460","2.4400","2.4860","2.3390","-1.59%"
"Aug 29, 2022","2.3840","2.3890","2.3970","2.3460","-0.34%"
"Aug 28, 2022","2.3922","2.3464","2.3922","2.3464","1.97%"
"Aug 26, 2022","2.3460","2.3930","2.4050","2.3440","5.49%"
"Aug 25, 2022","2.2240","2.2140","2.2720","2.1630","1.65%"
"Aug 24, 2022","2.1880","2.1860","2.2110","2.1530","0.69%"
"Aug 23, 2022","2.1730","2.2270","2.2270","2.1550","-1.63%"
"Aug 22, 2022","2.2090","2.2240","2.2340","2.2040","-0.92%"
"Aug 21, 2022","2.2294","2.2294","2.2294","2.2294","2.08%"
"Aug 19, 2022","2.1840","2.2070","2.2340","2.1740","2.20%"
"Aug 18, 2022","2.1370","2.1730","2.2110","2.1200","-0.28%"
"Aug 17, 2022","2.1430","2.2040","2.2320","2.1380","-2.55%"
"Aug 16, 2022","2.1990","2.2240","2.2830","2.1810","0.46%"
"Aug 15, 2022","2.1890","2.1990","2.2140","2.1780","-2.04%"
"Aug 14, 2022","2.2345","2.1887","2.2345","2.1887","1.85%"
"Aug 12, 2022","2.1940","2.2100","2.2400","2.1890","0.05%"
"Aug 11, 2022","2.1930","2.2440","2.2440","2.1600","0.46%"
"Aug 10, 2022","2.1830","2.2090","2.2190","2.1600","0.00%"
"Aug 09, 2022","2.1830","2.1990","2.2160","2.1430","1.63%"
"Aug 08, 2022","2.1480","2.1940","2.2090","2.1430","-1.86%"
"Aug 07, 2022","2.1887","2.1633","2.1887","2.1633","0.95%"
"Aug 05, 2022","2.1680","2.1840","2.1940","2.1430","2.65%"
"Aug 04, 2022","2.1120","2.1630","2.1700","2.0920","-1.90%"
"Aug 03, 2022","2.1530","2.2090","2.2140","2.1320","-1.51%"
"Aug 02, 2022","2.1860","2.2170","2.2240","2.1660","-1.40%"
