"Date","Price","Open","High","Low","Change %"
"Jun 08, 2022","3.0355","2.9970","3.0490","2.9920","1.50%"
"Jun 07, 2022","2.9906","3.0420","3.0680","2.9630","-1.52%"
"Jun 06, 2022","3.0368","2.9340","3.0440","2.9300","3.45%"
"Jun 05, 2022","2.9354","2.9422","2.9422","2.9354","-0.06%"
"Jun 03, 2022","2.9371","2.9160","2.9780","2.9040","0.89%"
"Jun 02, 2022","2.9111","2.9180","2.9450","2.8970","-0.17%"
"Jun 01, 2022","2.9160","2.8390","2.9520","2.8190","3.38%"
"May 31, 2022","2.8207","2.8070","2.8500","2.7770","0.49%"
"May 30, 2022","2.8070","2.8138","2.8138","2.8070","3.04%"
"May 27, 2022","2.7242","2.7140","2.7390","2.6920","0.68%"
"May 26, 2022","2.7057","2.7120","2.7510","2.6670","-0.74%"
"May 25, 2022","2.7259","2.7450","2.7690","2.6950","-0.62%"
"May 24, 2022","2.7429","2.8620","2.8810","2.7210","-4.64%"
"May 23, 2022","2.8763","2.8250","2.8870","2.8090","1.76%"
"May 22, 2022","2.8266","2.8248","2.8266","2.8248","0.73%"
"May 20, 2022","2.8060","2.8450","2.8800","2.7840","-1.08%"
"May 19, 2022","2.8367","2.8730","2.9240","2.7770","-1.78%"
"May 18, 2022","2.8880","2.9600","2.9980","2.8730","-2.66%"
"May 17, 2022","2.9668","2.8280","2.9720","2.8160","5.03%"
"May 16, 2022","2.8247","2.8890","2.9070","2.8010","-2.30%"
"May 15, 2022","2.8912","2.8946","2.8946","2.8912","0.59%"
"May 13, 2022","2.8741","2.8420","2.9070","2.8230","1.26%"
"May 12, 2022","2.8382","2.8980","2.8990","2.7790","-2.06%"
"May 11, 2022","2.8978","2.9110","3.0190","2.8400","-0.35%"
"May 10, 2022","2.9080","2.9450","2.9800","2.8590","-1.16%"
"May 09, 2022","2.9420","3.0840","3.1090","2.9250","-4.61%"
"May 08, 2022","3.0842","3.0808","3.0877","3.0808","0.17%"
"May 06, 2022","3.0791","3.0240","3.0840","2.9860","2.41%"
"May 05, 2022","3.0066","2.9400","3.0580","2.9130","2.75%"
"May 04, 2022","2.9262","3.0480","3.0680","2.8870","-3.33%"
"May 03, 2022","3.0269","3.0100","3.0440","2.9450","0.80%"
"May 02, 2022","3.0028","2.9670","3.0270","2.9260","1.21%"
"May 01, 2022","2.9669","2.9583","2.9669","2.9566","0.17%"
"Apr 29, 2022","2.9618","2.8850","2.9670","2.8450","4.00%"
"Apr 28, 2022","2.8479","2.8240","2.9070","2.7840","0.82%"
"Apr 27, 2022","2.8248","2.7570","2.8440","2.7210","3.15%"
"Apr 26, 2022","2.7386","2.8540","2.9180","2.7350","-4.21%"
"Apr 25, 2022","2.8590","2.9260","2.9370","2.7710","-2.30%"
"Apr 24, 2022","2.9262","2.9332","2.9332","2.9262","-0.47%"
"Apr 22, 2022","2.9401","3.0000","3.0490","2.9240","-0.80%"
"Apr 21, 2022","2.9637","2.8620","3.0160","2.8600","3.57%"
"Apr 20, 2022","2.8615","2.9370","2.9580","2.8440","-1.95%"
"Apr 19, 2022","2.9183","2.7840","2.9300","2.7670","4.64%"
"Apr 18, 2022","2.7890","2.8060","2.8440","2.7580","-0.61%"
"Apr 17, 2022","2.8060","2.8043","2.8060","2.8026","0.74%"
"Apr 14, 2022","2.7855","2.6610","2.7940","2.5810","4.70%"
"Apr 13, 2022","2.6605","2.6840","2.7460","2.5720","-1.32%"
"Apr 12, 2022","2.6961","2.8100","2.8460","2.6350","-3.18%"
"Apr 11, 2022","2.7846","2.7760","2.8390","2.7640","0.25%"
