"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"Nov 06, 2022","4.7850","4.7551","4.7850","4.7551","0.86%"
"Nov 04, 2022","4.7440","4.8160","4.8480","4.7390","-0.71%"
"Nov 03, 2022","4.7780","4.7460","4.8250","4.7080","0.97%"
"Nov 02, 2022","4.7320","4.7620","4.7710","4.6460","1.94%"
"Nov 01, 2022","4.6420","4.6740","4.6990","4.5750","0.11%"
"Oct 31, 2022","4.6370","4.5940","4.6990","4.5830","0.99%"
"Oct 30, 2022","4.5915","4.5834","4.5915","4.5834","0.47%"
"Oct 28, 2022","4.5700","4.4980","4.6020","4.4930","1.53%"
"Oct 27, 2022","4.5010","4.5530","4.5870","4.4850","-1.14%"
"Oct 26, 2022","4.5530","4.6180","4.6210","4.5280","-0.59%"
"Oct 25, 2022","4.5800","4.6540","4.7190","4.5500","-0.78%"
"Oct 24, 2022","4.6160","4.6220","4.6620","4.5320","0.12%"
"Oct 23, 2022","4.6106","4.6052","4.6106","4.6052","0.95%"
"Oct 21, 2022","4.5670","4.7770","4.7850","4.5670","-1.89%"
"Oct 20, 2022","4.6550","4.6310","4.6820","4.6040","1.28%"
"Oct 19, 2022","4.5960","4.5640","4.6180","4.5010","2.34%"
"Oct 18, 2022","4.4910","4.5290","4.5400","4.4640","0.00%"
"Oct 17, 2022","4.4910","4.4950","4.5350","4.4560","-0.68%"
"Oct 16, 2022","4.5216","4.5351","4.5351","4.5216","0.84%"
"Oct 14, 2022","4.4840","4.4770","4.6310","4.4050","1.01%"
"Oct 13, 2022","4.4390","4.2960","4.4820","4.2500","4.23%"
"Oct 12, 2022","4.2590","4.3150","4.3450","4.2590","-0.26%"
"Oct 11, 2022","4.2700","4.3130","4.3430","4.2050","-1.13%"
"Oct 10, 2022","4.3186","4.2458","4.3186","4.2458","3.29%"
"Oct 07, 2022","4.1810","4.1810","4.1810","3.9550","0.10%"
"Oct 06, 2022","4.1770","4.1610","4.1960","4.1286","0.77%"
"Oct 05, 2022","4.1450","4.1880","4.1880","4.1320","4.41%"
"Oct 04, 2022","3.9700","4.0020","4.0180","3.9050","-0.08%"
"Oct 03, 2022","3.9730","4.0000","4.0400","3.9590","-0.40%"
"Oct 02, 2022","3.9890","3.9863","3.9890","3.9863","-0.20%"
"Sep 30, 2022","3.9970","4.0060","4.0400","3.9440","0.65%"
"Sep 29, 2022","3.9710","3.9850","4.0840","3.9550","-0.23%"
"Sep 28, 2022","3.9800","4.1460","4.1670","3.9500","-4.00%"
"Sep 27, 2022","4.1460","4.1840","4.1870","4.1010","-0.02%"
"Sep 26, 2022","4.1470","4.1630","4.1790","4.1090","-0.26%"
"Sep 25, 2022","4.1577","4.1577","4.1577","4.1577","0.65%"
"Sep 23, 2022","4.1310","4.0850","4.1600","4.0610","1.37%"
"Sep 22, 2022","4.0750","4.1000","4.1350","4.0540","0.05%"
"Sep 21, 2022","4.0730","4.0520","4.1730","4.0250","0.87%"
"Sep 20, 2022","4.0380","4.0710","4.0760","4.0250","-0.42%"
"Sep 19, 2022","4.0550","3.9740","4.0600","3.9740","1.75%"
"Sep 18, 2022","3.9854","3.9854","3.9854","3.9854","0.54%"
"Sep 16, 2022","3.9640","4.0540","4.0550","3.9610","-0.75%"
"Sep 15, 2022","3.9940","3.9410","4.0110","3.9410","1.34%"
"Sep 14, 2022","3.9410","3.8930","3.9870","3.8930","0.25%"
"Sep 13, 2022","3.9310","3.7080","3.9440","3.6470","7.17%"
"Sep 12, 2022","3.6680","3.6850","3.7060","3.6340","-0.74%"
"Sep 11, 2022","3.6954","3.6954","3.6954","3.6954","0.88%"
"Sep 09, 2022","3.6630","3.6080","3.6770","3.5800","1.83%"
"Sep 08, 2022","3.5970","3.6050","3.6430","3.5700","-0.30%"
"Sep 07, 2022","3.6080","3.6380","3.6400","3.5870","2.47%"
"Sep 06, 2022","3.5210","3.4600","3.5560","3.4600","2.14%"
"Sep 05, 2022","3.4471","3.4471","3.4471","3.4471","-0.55%"
"Sep 02, 2022","3.4660","3.5410","3.6120","3.4310","-1.23%"
"Sep 01, 2022","3.5090","3.5360","3.5730","3.5010","0.75%"
"Aug 31, 2022","3.4830","3.5040","3.5760","3.4560","0.23%"
"Aug 30, 2022","3.4750","3.4410","3.4860","3.3950","1.79%"
"Aug 29, 2022","3.4140","3.3530","3.4860","3.3450","2.14%"
"Aug 28, 2022","3.3426","3.3266","3.3426","3.3266","-0.49%"
"Aug 26, 2022","3.3590","3.3300","3.3960","3.3160","0.87%"
"Aug 25, 2022","3.3300","3.3750","3.4180","3.3110","0.00%"
"Aug 24, 2022","3.3300","3.3200","3.3750","3.2980","1.28%"
"Aug 23, 2022","3.2880","3.3490","3.3570","3.2430","-0.81%"
"Aug 22, 2022","3.3150","3.2590","3.3440","3.2490","1.63%"
"Aug 21, 2022","3.2618","3.2564","3.2618","3.2564","0.58%"
"Aug 19, 2022","3.2430","3.2390","3.2830","3.2350","0.46%"
"Aug 18, 2022","3.2280","3.2950","3.3130","3.2150","-1.62%"
"Aug 17, 2022","3.2810","3.2570","3.3500","3.2570","0.55%"
"Aug 16, 2022","3.2630","3.2260","3.2920","3.2260","1.08%"
"Aug 15, 2022","3.2280","3.2950","3.3240","3.2130","-0.76%"
"Aug 14, 2022","3.2526","3.2500","3.2526","3.2500","0.08%"
"Aug 12, 2022","3.2500","3.2900","3.2930","3.2070","-0.09%"
"Aug 11, 2022","3.2530","3.3150","3.3200","3.1810","-0.49%"
"Aug 10, 2022","3.2690","3.3550","3.3790","3.1920","-0.49%"
"Aug 09, 2022","3.2850","3.2800","3.3490","3.2640","0.34%"
"Aug 08, 2022","3.2740","3.2960","3.3040","3.2510","-0.75%"
"Aug 07, 2022","3.2986","3.2694","3.2986","3.2694","0.91%"
"Aug 05, 2022","3.2690","3.0870","3.3060","3.0820","4.91%"
"Aug 04, 2022","3.1160","3.1640","3.1800","3.0900","-0.70%"
"Aug 03, 2022","3.1380","3.0930","3.2070","3.0770","1.19%"
"Aug 02, 2022","3.1010","2.9790","3.1270","2.9320","4.10%"
"Aug 01, 2022","2.9790","2.9770","3.0110","2.9370","0.52%"
"Jul 31, 2022","2.9636","2.9610","2.9636","2.9610","-0.35%"
"Jul 29, 2022","2.9740","2.9270","3.0030","2.9080","1.95%"
"Jul 28, 2022","2.9170","2.9960","3.0890","2.8820","-2.80%"
"Jul 27, 2022","3.0010","3.0600","3.0970","2.9700","-1.67%"
"Jul 26, 2022","3.0520","3.0490","3.0990","3.0120","-0.26%"
"Jul 25, 2022","3.0600","3.0280","3.0970","3.0230","1.40%"
"Jul 24, 2022","3.0178","3.0151","3.0178","3.0151","-0.01%"
"Jul 22, 2022","3.0180","3.1010","3.1240","2.9700","-2.42%"
"Jul 21, 2022","3.0930","3.1990","3.2390","3.0820","-2.74%"
"Jul 20, 2022","3.1800","3.2020","3.2200","3.1410","-0.59%"
"Jul 19, 2022","3.1990","3.1460","3.2200","3.1350","2.27%"
"Jul 18, 2022","3.1280","3.0750","3.1670","3.0750","0.69%"
"Jul 17, 2022","3.1066","3.1066","3.1066","3.1066","0.50%"
"Jul 15, 2022","3.0910","3.1900","3.3320","3.0750","-2.52%"
"Jul 14, 2022","3.1710","3.2080","3.3300","3.1520","-1.25%"
"Jul 13, 2022","3.2110","3.0730","3.2510","3.0620","7.07%"
"Jul 12, 2022","2.9990","2.9940","3.0310","2.9510","0.17%"
"Jul 11, 2022","2.9940","2.9200","3.0020","2.9120","2.44%"
"Jul 10, 2022","2.9228","2.9228","2.9228","2.9228","-0.72%"
"Jul 08, 2022","2.9440","2.8420","2.9650","2.8380","2.76%"
"Jul 07, 2022","2.8650","2.7780","2.8780","2.7570","2.72%"
"Jul 06, 2022","2.7890","2.7680","2.8340","2.7280","1.34%"
"Jul 05, 2022","2.7520","2.7760","2.8020","2.7210","-0.96%"
"Jul 04, 2022","2.7787","2.6786","2.7787","2.6786","2.23%"
"Jul 01, 2022","2.7180","2.7740","2.8210","2.6790","-2.58%"
"Jun 30, 2022","2.7900","2.8960","2.8960","2.7820","-2.04%"
"Jun 29, 2022","2.8480","2.8980","2.9220","2.8450","-1.01%"
"Jun 28, 2022","2.8770","2.8850","2.9250","2.8610","0.07%"
"Jun 27, 2022","2.8750","2.8410","2.9010","2.8010","1.49%"
"Jun 26, 2022","2.8327","2.8301","2.8327","2.8301","0.10%"
"Jun 24, 2022","2.8300","2.7590","2.8700","2.7590","2.35%"
"Jun 23, 2022","2.7650","2.8040","2.8070","2.6670","-1.04%"
"Jun 22, 2022","2.7940","2.9260","2.9500","2.7800","-4.41%"
"Jun 21, 2022","2.9230","2.8680","2.9500","2.8600","1.73%"
"Jun 20, 2022","2.8733","2.8575","2.8733","2.8575","0.57%"
"Jun 17, 2022","2.8570","2.9450","2.9840","2.8280","-0.97%"
"Jun 16, 2022","2.8850","2.9610","3.0540","2.8660","-2.67%"
"Jun 15, 2022","2.9640","3.1450","3.2190","2.9170","-2.88%"
"Jun 14, 2022","3.0520","2.9010","3.0990","2.8720","9.04%"
"Jun 13, 2022","2.7990","2.5460","3.0070","2.5330","10.49%"
"Jun 12, 2022","2.5332","2.5174","2.5332","2.5174","1.05%"
"Jun 10, 2022","2.5070","2.3000","2.5330","2.3000","9.00%"
"Jun 09, 2022","2.3000","2.2610","2.3060","2.2430","2.45%"
"Jun 08, 2022","2.2450","2.2240","2.2690","2.2140","1.77%"
"Jun 07, 2022","2.2060","2.2250","2.2530","2.1850","0.46%"
"Jun 06, 2022","2.1960","2.1720","2.2140","2.1620","0.96%"
"Jun 05, 2022","2.1751","2.1724","2.1751","2.1724","0.61%"
"Jun 03, 2022","2.1620","2.1360","2.1800","2.1230","1.69%"
"Jun 02, 2022","2.1260","2.1360","2.1540","2.1100","0.14%"
"Jun 01, 2022","2.1230","2.0790","2.1410","2.0680","3.41%"
"May 31, 2022","2.0530","2.0010","2.0870","2.0010","2.35%"
"May 30, 2022","2.0058","1.9980","2.0058","1.9980","0.79%"
"May 27, 2022","1.9900","1.9880","2.0340","1.9670","0.76%"
"May 26, 2022","1.9750","2.0190","2.0350","1.9640","-0.90%"
"May 25, 2022","1.9930","2.0220","2.0220","1.9700","-0.15%"
"May 24, 2022","1.9960","2.1060","2.1260","1.9910","-4.04%"
"May 23, 2022","2.0800","2.0930","2.1370","2.0640","-0.48%"
"May 22, 2022","2.0901","2.0613","2.0901","2.0613","1.02%"
"May 20, 2022","2.0690","2.1160","2.1320","2.0590","-1.52%"
"May 19, 2022","2.1010","2.1710","2.2050","2.0900","2.79%"
"May 18, 2022","2.0440","2.0860","2.1090","2.0310","-1.26%"
"May 17, 2022","2.0700","2.0070","2.1040","2.0070","3.66%"
"May 16, 2022","1.9970","1.9630","2.0130","1.9580","1.86%"
"May 15, 2022","1.9605","1.9449","1.9605","1.9449","0.13%"
"May 13, 2022","1.9580","1.9110","1.9790","1.9010","3.27%"
"May 12, 2022","1.8960","1.9450","1.9660","1.8930","-2.02%"
"May 11, 2022","1.9350","1.9370","2.0310","1.9190","-0.26%"
"May 10, 2022","1.9400","1.9300","2.0520","1.9060","0.15%"
"May 09, 2022","1.9370","2.0310","2.0830","1.9110","-4.52%"
"May 08, 2022","2.0288","2.0262","2.0288","2.0262","1.54%"
"May 06, 2022","1.9980","2.0660","2.0890","1.9740","-1.77%"
"May 05, 2022","2.0340","2.0290","2.0920","2.0030","0.89%"
"May 04, 2022","2.0160","2.1050","2.1910","2.0060","-4.68%"
"May 03, 2022","2.1150","2.0690","2.1390","2.0580","2.27%"
"May 02, 2022","2.0680","2.0690","2.1550","2.0340","-1.40%"
"May 01, 2022","2.0973","2.1077","2.1077","2.0973","1.91%"
"Apr 29, 2022","2.0580","2.0270","2.0950","1.9950","2.85%"
"Apr 28, 2022","2.0010","1.9930","2.0190","1.9590","2.14%"
"Apr 27, 2022","1.9590","1.9800","2.0170","1.9250","-0.81%"
"Apr 26, 2022","1.9750","2.0400","2.0560","1.9440","-2.32%"
"Apr 25, 2022","2.0220","2.0510","2.0880","1.9800","-3.01%"
"Apr 24, 2022","2.0848","2.0483","2.0848","2.0483","1.15%"
"Apr 22, 2022","2.0610","2.0250","2.1060","2.0250","2.18%"
"Apr 21, 2022","2.0170","1.9680","2.0200","1.9440","4.18%"
"Apr 20, 2022","1.9360","1.9440","1.9910","1.9290","5.91%"
